Co_100_1_NT_0.txt;4.90216;4459;576;378;422
Co_100_1_NT_1.txt;4.90116;4535;597;323;383
Co_100_1_NT_2.txt;4.90387;4280;601;441;260
Co_100_1_NT_3.txt;4.90161;4106;602;284;394
Co_100_1_NT_4.txt;4.90107;5276;912;356;408
Co_100_1_NT_5.txt;4.90507;3818;522;287;318
Co_100_1_NT_6.txt;4.90654;4466;836;339;322
Co_100_1_NT_7.txt;4.90074;4839;602;320;411
Co_100_1_NT_8.txt;4.90517;4800;553;341;479
Co_100_1_NT_9.txt;4.90056;6504;908;547;421
Co_100_1_T_0.txt;4.90544;4284;457;338;489
Co_100_1_T_1.txt;4.90259;4840;440;336;429
Co_100_1_T_2.txt;4.90153;4664;400;451;319
Co_100_1_T_3.txt;4.90486;4727;591;421;307
Co_100_1_T_4.txt;4.89907;5354;659;337;506
Co_100_1_T_5.txt;4.89877;3947;504;312;307
Co_100_1_T_6.txt;4.90204;4791;717;327;370
Co_100_1_T_7.txt;4.90009;5249;619;373;371
Co_100_1_T_8.txt;4.90145;5024;433;305;542
Co_100_1_T_9.txt;4.90164;6800;1022;425;463
Co_100_20_NT_0.txt;4.90454;3625;2189;226;120
Co_100_20_NT_1.txt;4.896;3203;2721;72;99
Co_100_20_NT_2.txt;4.90653;2196;1590;105;132
Co_100_20_NT_3.txt;4.91136;2183;1418;110;150
Co_100_20_NT_4.txt;4.9051;2169;1610;210;46
Co_100_20_NT_5.txt;4.91172;2614;2121;141;52
Co_100_20_NT_6.txt;4.9116;2015;1359;124;117
Co_100_20_NT_7.txt;4.91094;2481;1841;140;114
Co_100_20_NT_8.txt;4.89878;3027;2502;135;85
Co_100_20_NT_9.txt;4.9065;2551;2271;3;91
Co_100_20_T_0.txt;4.91345;3662;2096;193;173
Co_100_20_T_1.txt;4.89863;3164;2737;118;63
Co_100_20_T_2.txt;4.91889;2207;1515;147;129
Co_100_20_T_3.txt;4.89456;2195;1395;162;123
Co_100_20_T_4.txt;4.89417;2174;1622;144;86
Co_100_20_T_5.txt;4.91414;2610;2127;120;64
Co_100_20_T_6.txt;4.90648;2005;1371;133;107
Co_100_20_T_7.txt;4.91078;2486;1802;149;121
Co_100_20_T_8.txt;4.90184;3032;2207;230;120
Co_100_20_T_9.txt;4.91;2552;2299;25;67
Co_300_20_NT_0.txt;4.90343;7371;5794;238;236
Co_300_20_NT_1.txt;4.90351;7039;5491;272;265
