300; 20; 3
2;5;0;0;21
27;25;0;0;25
31;28;0;0;4
32;30;0;0;13
40;37;0;0;28
60;57;0;0;38
102;99;0;0;5
110;113;0;0;31
111;113;0;0;22
118;116;0;0;26
134;133;0;0;10
161;158;0;0;8
173;174;0;0;21
194;191;0;0;19
195;192;0;0;44
198;196;0;0;13
219;217;0;0;5
233;234;0;0;8
284;281;0;0;12
299;297;0;0;19
4;5;0;1;51
24;21;0;1;10
45;42;0;1;32
46;43;0;1;27
55;52;0;1;45
67;65;0;1;34
112;113;0;1;14
127;128;0;1;17
134;133;0;1;54
172;174;0;1;11
177;176;0;1;16
187;184;0;1;4
208;205;0;1;39
277;274;0;1;17
278;275;0;1;51
295;297;0;1;13
24;21;0;2;14
29;28;0;2;14
46;43;0;2;4
64;61;0;2;20
96;94;0;2;10
131;128;0;2;5
132;129;0;2;3
161;158;0;2;15
170;167;0;2;7
181;179;0;2;11
237;234;0;2;26
264;262;0;2;46
271;270;0;2;46
278;275;0;2;29
299;296;0;2;37
4;5;0;3;1
13;10;0;3;18
35;37;0;3;9
48;47;0;3;48
112;113;0;3;12
115;113;0;3;8
130;128;0;3;26
148;146;0;3;23
177;174;0;3;47
178;176;0;3;19
190;191;0;3;23
232;234;0;3;36
256;253;0;3;33
271;270;0;3;21
283;281;0;3;17
292;290;0;3;28
295;297;0;3;27
33;30;0;4;5
36;37;0;4;17
51;50;0;4;44
108;105;0;4;9
111;113;0;4;21
118;116;0;4;47
130;128;0;4;15
152;149;0;4;6
163;160;0;4;22
182;179;0;4;14
187;185;0;4;26
206;203;0;4;22
208;205;0;4;4
219;218;0;4;19
229;227;0;4;32
242;239;0;4;20
243;240;0;4;6
267;265;0;4;39
277;274;0;4;34
294;296;0;4;6
19;17;0;5;47
32;30;0;5;32
38;37;0;5;17
44;41;0;5;17
81;80;0;5;19
90;87;0;5;14
118;116;0;5;4
124;122;0;5;27
131;128;0;5;2
175;174;0;5;25
188;185;0;5;11
211;209;0;5;23
259;257;0;5;29
294;297;0;5;32
4;5;0;6;28
19;17;0;6;18
22;21;0;6;40
53;50;0;6;33
107;104;0;6;6
134;133;0;6;25
142;139;0;6;7
155;156;0;6;10
159;156;0;6;26
171;168;0;6;29
172;174;0;6;9
183;185;0;6;41
197;196;0;6;10
206;203;0;6;22
222;220;0;6;26
232;234;0;6;17
264;262;0;6;9
288;286;0;6;4
292;291;0;6;3
294;291;0;6;11
294;297;0;6;17
26;23;0;7;9
63;61;0;7;41
142;139;0;7;33
152;149;0;7;47
155;153;0;7;40
172;174;0;7;13
190;192;0;7;35
226;223;0;7;9
228;225;0;7;14
249;247;0;7;8
13;10;0;8;39
31;30;0;8;36
78;75;0;8;46
108;105;0;8;45
121;122;0;8;28
130;129;0;8;20
130;133;0;8;11
143;144;0;8;43
148;145;0;8;14
169;166;0;8;50
181;180;0;8;2
190;191;0;8;12
190;192;0;8;14
204;201;0;8;6
250;248;0;8;1
287;285;0;8;27
